epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.027853,0.184921,1.775943,0.185185,0.005
2,1.805896,0.165873,1.786348,0.177778,0.005
3,1.809179,0.161905,1.794432,0.166667,0.005
4,1.794705,0.166667,1.793931,0.166667,0.005
5,1.794019,0.187302,1.781857,0.155556,0.005
6,1.788565,0.188889,1.787227,0.166667,0.005
